Order No,Order Date,Line No,Ship To Address No,Item Code,Order Qty,Quantity Shipped
529032,1/4/2019,4,43824470,1040991,1,1
529032,1/4/2019,5,43824470,1039822,1,1
529032,1/4/2019,6,43824470,1041108,1,1
529032,1/4/2019,7,43824470,1041106,1,1
529034,1/4/2019,1,1254729,10133703,4,4
529034,1/4/2019,2,1254729,10135358,3,3
529035,1/4/2019,1,1254725,10133703,4,4
529035,1/4/2019,2,1254725,10135358,3,3
529036,1/4/2019,1,1254732,10133703,4,4
529036,1/4/2019,2,1254732,10135358,4,4
529037,1/4/2019,1,43824771,10133703,3,3
529037,1/4/2019,2,43824771,10135358,3,3
529038,1/4/2019,1,1384958,10133703,1,1
529038,1/4/2019,2,1384958,10135358,1,1
529039,1/4/2019,1,2100570,10133703,1,1
529039,1/4/2019,2,2100570,10135358,1,1
529040,1/4/2019,1,2255438,10133703,1,1
529040,1/4/2019,2,2255438,10135358,1,1
529041,1/4/2019,1,2075234,10135358,2,2
529041,1/4/2019,2,2075234,10133703,1,1
529042,1/4/2019,1,1889872,10133703,1,1
529042,1/4/2019,2,1889872,10135358,1,1
529043,1/4/2019,1,1700442,10135358,1,1
529043,1/4/2019,2,1700442,10133703,1,1
529044,1/4/2019,1,1384981,10133703,1,1
529044,1/4/2019,2,1384981,10135358,2,2
529045,1/4/2019,1,1797488,10133703,1,1
529045,1/4/2019,2,1797488,10135358,2,2
529046,1/4/2019,1,1889959,10135358,1,1
529046,1/4/2019,2,1889959,10133703,1,1
529047,1/4/2019,1,43824751,10133703,1,1
529047,1/4/2019,2,43824751,10135358,1,1
529048,1/4/2019,1,1912593,10135358,1,1
529048,1/4/2019,2,1912593,10133703,1,1
529049,1/4/2019,1,2168603,10133703,1,1
529049,1/4/2019,2,2168603,10135358,1,1
529050,1/4/2019,1,1751541,10133703,2,2
529050,1/4/2019,2,1751541,10135358,2,2
529051,1/4/2019,1,2269694,10133703,1,1
529051,1/4/2019,2,2269694,10135358,1,1
529052,1/4/2019,1,1497991,10133703,1,1
529052,1/4/2019,2,1497991,10135358,1,1
529053,1/4/2019,1,1473294,10135358,1,1
529053,1/4/2019,2,1473294,10133703,1,1
529054,1/4/2019,1,1493821,10133703,1,1
529054,1/4/2019,2,1493821,10135358,2,2
529055,1/4/2019,1,2168589,10133703,1,1
529055,1/4/2019,2,2168589,10135358,1,1
529091,1/4/2019,1,1254798,10133703,60,60
529091,1/4/2019,2,1254798,10135358,60,60
529099,1/4/2019,1,1803960,1038324,1,1
529100,1/4/2019,1,1477237,1039305,1,1
529100,1/4/2019,2,1477237,1040726,1,1
529100,1/4/2019,3,1477237,1038324,1,1
529101,1/4/2019,1,1803960,1041106,1,1
529103,1/4/2019,1,1803960,1039306,3,3
529103,1/4/2019,2,1803960,1039311,8,8
529105,1/4/2019,1,1803960,1040776,1,1
529106,1/4/2019,1,2246978,1040726,1,1
